V1,V2,V3
-75.5354823897211,28.6292926829268,-4996
-75.5019331797143,28.6292926829268,-4996
-75.4683839697075,28.6292926829268,-4996
-75.4348347597007,28.6292926829268,-4988
-75.4012855496939,28.6292926829268,-4985
-75.3677363396871,28.6292926829268,-4986
-75.3341871296803,28.6292926829268,-4988
-75.3006379196735,28.6292926829268,-4973
-75.2670887096667,28.6292926829268,-4972
-75.2335394996599,28.6292926829268,-4970
-75.1999902896531,28.6292926829268,-4950
-75.1664410796462,28.6292926829268,-4933
-75.1328918696395,28.6292926829268,-4931
-75.0993426596326,28.6292926829268,-4941
-75.0657934496258,28.6292926829268,-4959
-75.032244239619,28.6292926829268,-4971
-74.9986950296122,28.6292926829268,-4957
-74.9651458196054,28.6292926829268,-4925
-74.9315966095986,28.6292926829268,-4903
-74.8980473995918,28.6292926829268,-4889
-74.864498189585,28.6292926829268,-4884
-74.8309489795782,28.6292926829268,-4887
-74.7973997695714,28.6292926829268,-4880
-74.7638505595646,28.6292926829268,-4861
-74.7303013495578,28.6292926829268,-4852
-74.696752139551,28.6292926829268,-4838
-74.6632029295442,28.6292926829268,-4834
-74.6296537195374,28.6292926829268,-4854
-74.5961045095306,28.6292926829268,-4857
-74.5625552995238,28.6292926829268,-4821
-74.529006089517,28.6292926829268,-4774
-74.4954568795102,28.6292926829268,-4752
-74.4619076695034,28.6292926829268,-4723
-74.4283584594966,28.6292926829268,-4675
-74.3948092494898,28.6292926829268,-4623
-74.361260039483,28.6292926829268,-4563
-74.3277108294762,28.6292926829268,-4490
-74.2941616194694,28.6292926829268,-4426
-74.2606124094626,28.6292926829268,-4414
-74.2270631994558,28.6292926829268,-4399
-74.193513989449,28.6292926829268,-4389
-74.1599647794422,28.6292926829268,-4461
-74.1264155694354,28.6292926829268,-4532
-74.0928663594286,28.6292926829268,-4546
-74.0593171494218,28.6292926829268,-4556
-74.025767939415,28.6292926829268,-4577
-73.9922187294082,28.6292926829268,-4599
-73.9586695194014,28.6292926829268,-4611
-73.9251203093946,28.6292926829268,-4608
-73.8915710993877,28.6292926829268,-4603
-73.858021889381,28.6292926829268,-4600
-73.8244726793741,28.6292926829268,-4596
-73.7909234693673,28.6292926829268,-4589
-73.7573742593605,28.6292926829268,-4603
-73.7238250493537,28.6292926829268,-4624
